person,scan,curve,hand,frames_force,frames_velocity,duration_force_s,force_publish_hz,velocity_publish_hz,tcp_publish_hz,us_publish_hz,discard_s,comparison_samples,my_median_nm,my_mad_nm,my_abs_p95_nm,my_excess_rms_nm,my_active_fraction,predicted_rms_rad_s,predicted_abs_p95_rad_s,actual_rms_rad_s,actual_abs_p95_rad_s,actual_to_predicted_rms,zero_lag_corr,sign_agreement,excitation_reliable,apparent_lag_s,apparent_lag_ms,best_corr,lag_zero_corr,lag_corr_gain,lag_grid_dt_s,interpretation,initial_condition_spread_post_discard_rad_s
chenwei,RH_Per_S_DtP,S,RH,1365,1244,6.820430379,199.9873797113647,182.51100451019386,182.5187916975697,29.994163853800927,1.2,1039,-0.02229097086508677,0.056222725890731705,0.0782329806172291,0.025265710513474437,0.6429258902791145,0.09785296804994573,0.19724798135264468,0.10101566068237469,0.20491723152567948,1.0323208656360292,0.9867130888172776,0.8641251221896383,True,0.024946261250000656,24.946261250000656,0.9866025694668548,0.9856051874538021,0.0009973820130526612,0.004989252250000131,mixed replay agreement,0.0
chenwei,RH_Per_S_PtD,S,RH,1345,1203,6.720068289,199.99796760993897,179.2077608475067,179.16166383845035,30.012760219132215,1.2,1010,0.027226983458764994,0.03962284406224508,0.07251344300572944,0.02133636771695601,0.5118811881188119,0.07539685010943546,0.12501146850852873,0.0782317810093389,0.14053548798810528,1.0376001238219985,0.9760728359480795,0.7162022703818369,True,0.030052242000000007,30.052242000000007,0.9250730120747654,0.9180834370692019,0.00698957500556352,0.005008707000000001,mixed replay agreement,0.0
dianye,LH_Per_C_DtP,C,LH,1117,990,5.579803945000001,200.00702730783846,177.55685201933596,177.5673685053855,29.98591989454783,1.2,808,-0.033713459854727804,0.033668986253509975,0.07184139575166519,0.022778653532364655,0.5358910891089109,0.09312738171986316,0.15981904904059618,0.09602434497876705,0.16607654880034428,1.0311075347057244,0.952136802183371,0.6982872200263505,True,0.009948717000000329,9.948717000000329,0.9173876536869606,0.9167496813685274,0.0006379723184332109,0.0049743585000001644,mixed replay agreement,9.659847790581979e-05
dianye,LH_Per_C_PtD,C,LH,1158,1033,5.788491334000001,199.87936981162972,178.5047752522036,178.4575531680324,30.013193097064473,1.2,842,-0.021268865425910333,0.031592044587135486,0.06847628876902989,0.01892046551089465,0.42042755344418054,0.05651405863021582,0.10557480898735735,0.058903860217150585,0.11450661071845532,1.0422868511810799,0.9627668368872774,0.621859296482412,True,0.015006649499998304,15.006649499998304,0.9554716869364385,0.9424844674407739,0.012987219495664615,0.0050022164999994345,mixed replay agreement,0.0
dianye,LH_Per_L_DtP,L,LH,1071,975,5.360651316,199.60261112420392,181.8700492244667,181.88088396831665,29.99843422889538,1.2,773,-0.03011638539315797,0.014372418204551856,0.05417944991218612,0.013423256647523816,0.5032341526520052,0.04156962703706109,0.07708944261448135,0.04227734710522197,0.08424905783107249,1.017024931869846,0.9745184976417192,0.7789473684210526,True,0.02506072000000026,25.06072000000026,0.8760198268809877,0.8535116384922183,0.022508188388769335,0.005012144000000052,mixed replay agreement,0.0
dianye,LH_Per_L_PtD,L,LH,1093,964,5.46055104,199.9798174215033,176.52887588978558,176.53895970176666,30.005142754452475,1.2,779,-0.00041789093830600556,0.014403803571238296,0.02652963332519725,0.0018983360319942226,0.03080872913992298,0.0004037766027517334,0.0006731122708034265,0.004061493708777066,0.008356884037586354,10.058764378862044,0.047019432969706745,0.06475903614457831,False,nan,nan,nan,nan,nan,nan,weak torque excitation; apparent lag omitted,0.0
dianye,LH_Per_S_DtP,S,LH,1272,1131,6.355662153,199.9791633669613,178.09117168758104,178.1002071313597,29.999723859684664,1.2,935,-0.005312977976762015,0.0319720484726049,0.07795209289266439,0.02125476073658678,0.3411764705882353,0.08342562959810923,0.19308415005288002,0.08740797469245652,0.202880791554233,1.0477352716848727,0.9785527747251049,0.5397536394176932,True,0.035028369249999525,35.02836924999953,0.968916199361937,0.9636552773060518,0.005260922055885131,0.005004052749999932,mixed replay agreement,0.00010098160290248063
dianye,LH_Per_S_PtD,S,LH,1313,1232,6.563638486000001,199.88913204138947,187.68159754923445,187.70077033154865,30.065748483879762,1.2,1035,-0.008048427232899742,0.037685758798698295,0.0714794794645542,0.019961009359348563,0.43091787439613527,0.07166685510573761,0.1777369046945613,0.0727974847022162,0.18262230811953867,1.015776185445984,0.9789339714480313,0.6550308008213552,True,0.03509280424999961,35.09280424999961,0.9846473235236881,0.9813777254612858,0.0032695980624023457,0.005013257749999944,mixed replay agreement,0.0
dianye,RH_Per_C_DtP,C,RH,1279,1145,6.390788019,199.97533890976644,179.28467058833283,179.29248745134345,29.992126575279975,1.2,951,0.002510952517407006,0.017247820647296467,0.027762687248569146,0.0020795395083590975,0.03785488958990536,0.0004084586999756668,0.0008722663553472344,0.0036905830966208475,0.00786677781425808,9.03538863743313,-0.0730132078426718,0.13341346153846154,False,nan,nan,nan,nan,nan,nan,weak torque excitation; apparent lag omitted,0.0
dianye,RH_Per_C_PtD,C,RH,1294,1224,6.465657829,199.97965159872675,189.2911628497539,189.30788364798264,29.98684867865106,1.2,1020,0.011936023552630931,0.02017729584544513,0.04048532542031226,0.006510792413085283,0.18235294117647058,0.0073814427430522215,0.01719741338346352,0.007804550285311064,0.01763942822153193,1.057320439511245,0.7008007195713494,0.4629237288135593,False,nan,nan,nan,nan,nan,nan,weak torque excitation; apparent lag omitted,0.0
