timestamp_ns,time_s,center_row_px,center_col_px,tracked
1788946135636976796,14.140251331000002,537.0,424.5,1
1788946135668827873,14.172102408,539.5,424.5,1
1788946135704834623,14.208109158000001,539.5,424.5,1
1788946135737170037,14.240444572000001,543.5,425.0,1
1788946135769130479,14.272405014,543.5,425.0,1
1788946135805150167,14.308424702000002,547.5,424.5,1
1788946135837301726,14.340576261,547.5,424.5,1
1788946135869376126,14.372650661000002,548.5,426.0,1
1788946135905109182,14.408383717000001,548.5,426.0,1
1788946135937354012,14.440628547000001,548.5,425.5,1
1788946135969057951,14.472332486,548.5,425.5,1
1788946136005554954,14.508829489,548.5,425.5,1
1788946136037490320,14.540764855,546.0,424.0,1
1788946136068934984,14.572209519000001,546.0,423.5,1
1788946136104712836,14.607987371,540.5,421.5,1
1788946136137202414,14.640476949000002,540.0,421.5,1
1788946136169073088,14.672347623,534.0,421.5,1
1788946136205081744,14.708356279,534.5,421.0,1
1788946136236958899,14.740233434,534.5,421.5,1
1788946136269132197,14.772406732,530.0,422.5,1
1788946136305369838,14.808644373000002,530.0,422.5,1
1788946136337237411,14.840511946000001,530.0,422.5,1
1788946136369391266,14.872665801,530.0,422.5,1
1788946136405052023,14.908326558,527.0,422.0,1
1788946136437292234,14.940566769,526.5,422.0,1
1788946136469334984,14.972609519,527.5,422.5,1
1788946136504879729,15.008154264000002,527.5,422.5,1
1788946136537243878,15.040518413000001,532.0,424.5,1
1788946136570669866,15.073944401,533.5,424.5,1
1788946136607253268,15.110527803,533.5,424.5,1
1788946136637351230,15.140625765000001,538.0,424.5,1
1788946136668948227,15.172222762,538.0,424.5,1
1788946136705051842,15.208326377,542.5,425.0,1
1788946136737334117,15.240608652,543.0,425.0,1
1788946136769248085,15.27252262,546.0,425.5,1
1788946136805193577,15.308468112000002,545.5,425.5,1
1788946136837600773,15.340875308000001,548.5,426.0,1
1788946136869514761,15.372789296,548.5,426.0,1
1788946136905155925,15.408430460000002,548.5,426.0,1
1788946136937182328,15.440456863000001,548.5,425.5,1
1788946136968997514,15.472272049,548.5,425.5,1
1788946137004821037,15.508095572,546.5,425.5,1
1788946137037378667,15.540653202000001,546.0,425.5,1
1788946137069159330,15.572433865,541.5,423.5,1
1788946137105282795,15.608557330000002,541.5,423.5,1
1788946137137368822,15.640643357000002,536.5,422.0,1
1788946137169221758,15.672496293000002,536.5,422.5,1
1788946137205209018,15.708483553,536.5,422.0,1
1788946137237226068,15.740500603000001,531.0,422.5,1
1788946137269177783,15.772452318000001,531.0,422.5,1
1788946137305214164,15.808488699000002,528.0,422.0,1
1788946137337175207,15.840449742,528.0,422.0,1
1788946137369184747,15.872459282000001,530.0,421.5,1
1788946137405089287,15.908363822000002,530.0,421.5,1
1788946137437190395,15.940464930000001,530.0,421.5,1
1788946137468960610,15.972235145,530.0,421.5,1
1788946137504906737,16.008181272,530.0,421.5,1
1788946137537029203,16.040303738000002,533.5,422.5,1
1788946137569210963,16.072485498000002,532.0,422.5,1
1788946137604875278,16.108149813,536.0,424.5,1
1788946137637136346,16.140410881,537.0,424.5,1
1788946137668819636,16.172094171,541.0,424.5,1
1788946137704911803,16.208186338,541.0,424.5,1
1788946137737241964,16.240516499,546.0,425.0,1
1788946137769119680,16.272394215000002,545.5,425.0,1
1788946137804929856,16.308204391,546.0,425.0,1
1788946137837073467,16.340348002000002,548.0,425.0,1
1788946137869058068,16.372332603,548.0,425.0,1
1788946137904949457,16.408223992,549.0,425.0,1
1788946137937334792,16.440609327,549.5,425.0,1
1788946137969730266,16.473004801000002,548.5,425.5,1
1788946138004903196,16.508177731,548.0,425.5,1
1788946138037369610,16.540644145,543.0,423.5,1
1788946138069090901,16.572365436000002,543.0,423.5,1
1788946138105363514,16.608638049,540.0,423.0,1
1788946138137188595,16.64046313,537.5,422.0,1
1788946138168889252,16.672163787000002,537.5,422.0,1
1788946138205112246,16.708386781,536.0,421.0,1
1788946138237169930,16.740444465,536.0,421.0,1
1788946138268972491,16.772247026000002,530.0,422.0,1
1788946138305054201,16.808328736,530.0,422.0,1
1788946138337221241,16.840495776,530.5,421.0,1
1788946138369160953,16.872435488,530.5,420.5,1
1788946138405016398,16.908290933,530.0,421.0,1
1788946138437172570,16.940447105,530.0,421.5,1
1788946138468829634,16.972104169,530.0,421.5,1
1788946138504881650,17.008156185,530.5,422.0,1
1788946138537156510,17.040431045000002,532.5,422.0,1
1788946138569003224,17.072277759000002,535.0,424.0,1
1788946138605046848,17.108321383,535.0,424.0,1
1788946138637006390,17.140280925000003,538.5,424.0,1
1788946138668928236,17.172202771000002,538.0,424.0,1
1788946138704851828,17.208126363,538.5,424.0,1
1788946138737671321,17.240945856,543.5,425.5,1
1788946138768870707,17.272145242,543.5,425.5,1
1788946138804891574,17.308166109000002,547.5,425.0,1
1788946138837176882,17.340451417,547.5,425.0,1
1788946138869094120,17.372368655000002,548.0,425.0,1
1788946138904946222,17.408220757000002,548.0,425.5,1
1788946138937013958,17.440288493,548.5,424.5,1
1788946138968995930,17.472270465,549.0,424.5,1
1788946139004964347,17.508238882,548.5,424.5,1
1788946139037422059,17.540696594,548.5,424.5,1
1788946139069021821,17.572296356000003,548.5,425.0,1
1788946139104989660,17.608264195,548.5,424.5,1
1788946139137098838,17.640373373000003,548.5,424.5,1
1788946139169217356,17.672491891,548.5,424.5,1
1788946139204932361,17.708206896,548.5,424.0,1
1788946139237080112,17.740354647,547.5,424.0,1
1788946139269018202,17.772292737,547.5,424.0,1
1788946139305171277,17.808445812000002,547.5,424.0,1
1788946139337309973,17.840584508000003,547.5,424.0,1
1788946139368846775,17.87212131,547.5,424.0,1
1788946139404949567,17.908224102000002,547.5,424.0,1
1788946139437000890,17.940275425,547.5,424.0,1
1788946139469214943,17.972489478,547.5,423.5,1
1788946139505155350,18.008429885,547.5,423.5,1
1788946139537547412,18.040821947,547.5,424.0,1
1788946139569238855,18.07251339,548.0,424.0,1
1788946139605051318,18.108325853,548.5,424.5,1
1788946139637239462,18.140513997000003,548.5,424.0,1
1788946139669303538,18.172578073,548.5,424.0,1
1788946139704951088,18.208225623,548.5,424.0,1
1788946139736959391,18.240233926000002,548.5,424.0,1
