person,scan,event,start_frame,end_frame,start_time_s,end_time_s,end_exclusive_time_s,duration_s,start_timestamp_ns,end_timestamp_ns,side,max_dark_width_fraction,peak_frame,left_censored,right_censored,aligned_frame_fraction,force_samples,velocity_samples,force_p05,force_median,force_p95,my_p05,my_median,my_p95,mx_median,fy_median,my_deadzone_fraction,omega_y_median_deg_s,omega_y_abs_median_deg_s,omega_y_speed_near_limit_fraction,torque_velocity_opposition_fraction,torque_velocity_sign_valid_samples,image_manual_review
chenwei,RH_Per_S_PtD,1,93,155,3.099641177,5.163883322,5.199808849,2.100167672,1788953968316843789,1788953970381085934,left,0.25,140,False,False,1.0,420,377,3.343223852965866,3.6667918116109997,3.944620206283689,0.00427561775837598,0.03531691466540265,0.07603366984270933,0.052760828701183,0.4714818309620441,0.31666666666666665,-1.9553030111853045,1.9553030111853045,0.0,1.0,226,unreviewed
dianye,LH_Per_C_DtP,1,137,166,4.567949714,5.53593155,5.568023071,1.0000733569999998,1788953176343036702,1788953177311018538,left,0.1875,155,False,True,1.0,200,178,3.6952853515197366,3.9072344534427597,4.111958241029339,-0.0225379433545875,-0.0024909675253092793,0.018350381289540838,0.0818264713937091,0.02087220695419076,0.945,0.0,0.22205182628877895,0.0,0.5,2,unreviewed
dianye,LH_Per_C_PtD,1,109,173,3.63180386,5.764131775,5.7962156920000005,2.1644118320000003,1788953253476861388,1788953255609189303,left,0.375,158,False,True,1.0,432,388,3.6902677875061305,3.847354808268388,4.076452113017146,-0.04014408835642288,-0.003369322966443063,0.01850612069381606,0.08150772676062008,0.9467150964116217,0.8564814814814815,0.0,0.23818396958543891,0.0,0.8823529411764706,17,unreviewed
dianye,LH_Per_L_PtD,1,50,163,1.667969814,5.432402083,5.464486788,3.796516974,1788953219028145192,1788953222792577461,left,0.25,131,False,True,1.0,759,672,3.737626667988586,3.97470399583111,4.279611939063654,-0.022696670860406665,7.133735585280803e-05,0.024571498200896012,0.06865936268062334,1.2044242219491184,0.9117259552042161,0.0,0.08941879190818092,0.0,nan,0,unreviewed
dianye,LH_Per_S_DtP,1,90,173,3.0000321530000003,5.768142770000001,5.800005061,2.799972908,1788953199059575861,1788953201827686478,left,0.4375,124,False,False,1.0,560,493,3.6899294556169293,3.9506058653962874,4.181910951940311,-0.01593051345512579,0.012183774634418503,0.04058302154880117,0.0703977070129198,0.09393526909902938,0.7357142857142858,-0.15028893499869786,0.2674661292872529,0.0,0.8787878787878788,33,unreviewed
dianye,LH_Per_S_PtD,1,38,91,1.252158705,3.0163813150000003,3.052335057,1.800176352,1788953273661514796,1788953275425737406,left,0.34375,65,False,False,1.0,360,342,3.6138240268769075,4.064137667159257,4.433811684010017,-0.006062992514509657,0.023812007864346625,0.06395279769358664,0.061810854517931016,1.5646698394451164,0.5194444444444445,-0.7638656297382744,0.8168146660674163,0.0,0.9917355371900827,121,unreviewed
dianye,LH_Per_S_PtD,2,157,197,5.216130891000001,6.552306526000001,6.58438174,1.3682508489999998,1788953277625486982,1788953278961662617,left,0.3125,184,False,True,1.0,273,257,3.6204689705269373,3.8929318258237107,4.139216829872832,-0.039969462704726406,-0.00843219781583335,0.016875560387482315,0.07269943597998976,0.864586224401395,0.8021978021978022,0.027420584772804336,0.31808981973867956,0.0,0.84375,32,unreviewed
dianye,RH_Per_S_DtP,1,45,87,1.4997863660000001,2.900016023,2.9320724150000004,1.4322860490000002,1788952917255953157,1788952918656182814,left,0.3125,73,False,False,1.0,286,259,4.055554698586047,4.347095083479483,4.547895910022257,-0.012882599538350704,0.014252907745016873,0.03882406329497117,0.06306452418265587,3.0183447442201423,0.7412587412587412,-0.0892855308743746,0.21688816239206965,0.0,0.42857142857142855,14,unreviewed
dianye,RH_Per_S_DtP,2,178,219,5.931845269,7.299889015000001,7.331951165000001,1.4001058960000012,1788952921688012060,1788952923056055806,left,0.3125,205,False,True,1.0,280,253,3.9467389999159885,4.244055859024822,4.478029319310302,-0.022010499639908802,0.0042203390878922265,0.026104458775051877,0.0814083951363097,2.597725693906608,0.8892857142857142,0.0,0.1576489031319697,0.0,0.3333333333333333,6,unreviewed
dianye,RH_Per_S_PtD,1,104,168,3.4639812180000003,5.599917041,5.632051971,2.168070753,1788952987806051792,1788952989941987615,left,0.3125,127,False,False,1.0,433,398,3.5133132624055308,3.6800881891621415,3.8985365191456554,-0.017529212372681378,0.002426204675726576,0.024353494187844642,0.06693047637896765,0.7598802206419394,0.9445727482678984,0.0281026393777771,0.18429374841635043,0.0,nan,0,unreviewed
yameng_1,LH_Per_C_DtP,1,127,164,4.235904140000001,5.467886376,5.499971139,1.2640669989999997,1788936523368779465,1788936524600761701,left,0.28125,154,False,True,1.0,253,231,3.748618650895656,3.9398000248641534,4.148110865547454,0.0013800536211403735,0.021993479775553125,0.042021393881135634,0.09250257780255555,-0.18859024685561937,0.5810276679841897,-0.1562007788393556,0.2412422951171985,0.0,0.8,10,unreviewed
yameng_1,LH_Per_C_PtD,1,122,166,4.047946147,5.515996598,5.5480567685,1.5001106215000002,1788936599832136106,1788936601300186557,left,0.3125,157,False,True,1.0,300,275,3.6052231224005697,3.8047557519817294,4.010052671723329,-0.027593183778843462,-0.0029292621273059854,0.0168125508855399,0.093803970355745,0.9328352525854897,0.9133333333333333,0.0,0.1630539664948815,0.0,0.5,2,unreviewed
yameng_1,LH_Per_S_DtP,1,86,186,2.867811012,6.199979813000001,6.232049188,3.364238176,1788936544468282929,1788936547800451730,left,0.46875,119,False,True,1.0,673,635,3.644113645101814,3.964822817105895,4.248111894830334,0.0014967700982530588,0.026091162645532094,0.05147109128184033,0.0874320543661963,-0.040264432536479385,0.475482912332838,-0.7428062238806102,0.7754826645473755,0.0,0.9957805907172996,237,unreviewed
yameng_1,LH_Per_S_PtD,1,154,187,5.132252398,6.23239521,6.264475324,1.1322229259999999,1788936622664308970,1788936623764451782,left,0.3125,178,False,True,1.0,226,203,3.6242174984802675,3.830357248122824,4.014663972669753,-0.024046869981563464,-0.0027366809760794096,0.019131813084176077,0.09232616540312819,0.9203070550343503,0.9380530973451328,0.0,0.17413688313710157,0.0,0.5,2,unreviewed
yameng_1,RH_Per_C_DtP,1,0,160,0.0,5.335019102,5.367025030000001,5.367025030000001,1788936267057224753,1788936272392243855,left,0.46875,95,True,False,0.968944099378882,1045,970,4.19963934519383,4.353638625921391,4.485962516756838,-0.027562330813138417,-0.0011929786466490628,0.02583280439610305,0.10238981641739664,3.138164317152124,0.8717703349282296,0.0,0.11540787596551924,0.0,0.5,2,unreviewed
yameng_1,RH_Per_C_PtD,1,64,134,2.131779353,4.4677415510000005,4.499633842000001,2.3678544890000004,1788936334278697117,1788936336614659315,left,0.1875,80,False,False,1.0,474,444,3.2112754465532025,3.633495703378676,4.030792982211431,-3.439968645957818e-05,0.02740807702775718,0.06018863849848678,0.08896692068184554,1.1368598956984084,0.45569620253164556,-0.9911094011296157,0.9911094011296157,0.0,0.9831460674157303,178,unreviewed
yameng_1,RH_Per_L_DtP,1,0,149,0.0,4.9666109910000005,4.9986041100000005,4.9986041100000005,1788936244030527133,1788936248997138124,left,0.1875,51,True,False,0.9666666666666667,970,912,4.202532178063416,4.356064123328664,4.56768837309189,-0.04904669364184955,-0.02679221923053671,-0.0046692646330870596,0.109096047853527,3.200056161289883,0.4515463917525773,0.9210518412591817,0.9210518412591817,0.0,1.0,347,unreviewed
yameng_1,RH_Per_L_PtD,1,14,55,0.464101344,1.831778294,1.8640270730000001,1.399925729,1788936310765842355,1788936312133519305,left,0.1875,43,False,False,1.0,279,267,3.566998978197006,3.729399091694188,3.8533562402828383,-0.022314618519979436,-0.005312022272459608,0.010139545588265075,0.09432610799885281,0.6051969603921299,0.9713261648745519,0.00276757475129715,0.1352870457903972,0.0,nan,0,unreviewed
yameng_1,RH_Per_S_DtP,1,0,111,0.0,3.6992064210000004,3.7352393800000003,3.7352393800000003,1788936290169059613,1788936293868266034,left,0.53125,61,True,False,0.9553571428571429,717,642,4.125992048838435,4.313612623541319,4.510305175404614,-0.0354477639021778,0.00442214067151513,0.04475704384187071,0.09909829740364476,3.13204514581544,0.6304044630404463,-0.07857581936462116,0.3169221175407468,0.0,1.0,136,unreviewed
